age,scrape_id,zipcode,gender,normalized_result
53,1,30309,m,0.13725490196078433
54,1,30309,m,0.14705882352941177
55,1,30309,m,0.12418300653594772
56,1,30309,m,0.1437908496732026
57,1,30309,m,0.12091503267973856
58,1,30309,m,0.12745098039215685
59,1,30309,m,0.0718954248366013
60,1,30309,m,0.0392156862745098
61,1,30309,m,0.05228758169934641
62,1,30309,m,0.049019607843137254
63,1,30309,m,0.0196078431372549
64,1,30309,m,0.00980392156862745
65,1,30309,m,0.013071895424836602
18,1,2110,f,0.0966183574879227
19,1,2110,f,0.37681159420289856
20,1,2110,f,0.4057971014492754
21,1,2110,f,0.4975845410628019
22,1,2110,f,0.855072463768116
23,1,2110,f,0.782608695652174
24,1,2110,f,0.961352657004831
25,1,2110,f,0.8647342995169082
26,1,2110,f,0.9420289855072463
27,1,2110,f,1
28,1,2110,f,0.9468599033816425
29,1,2110,f,0.7632850241545893
30,1,2110,f,0.7536231884057971
31,1,2110,f,0.7246376811594203
32,1,2110,f,0.5942028985507246
33,1,2110,f,0.7198067632850241
34,1,2110,f,0.5410628019323671
35,1,2110,f,0.5314009661835749
36,1,2110,f,0.5942028985507246
37,1,2110,f,0.5265700483091788
38,1,2110,f,0.6521739130434783
39,1,2110,f,0.5797101449275363
40,1,2110,f,0.5845410628019324
41,1,2110,f,0.5169082125603864
42,1,2110,f,0.47342995169082125
43,1,2110,f,0.5265700483091788
44,1,2110,f,0.5555555555555556
45,1,2110,f,0.5458937198067633
46,1,2110,f,0.40096618357487923
47,1,2110,f,0.48792270531400966
48,1,2110,f,0.45410628019323673
49,1,2110,f,0.4251207729468599
50,1,2110,f,0.42995169082125606
51,1,2110,f,0.463768115942029
52,1,2110,f,0.42995169082125606
53,1,2110,f,0.37681159420289856
54,1,2110,f,0.34299516908212563
55,1,2110,f,0.3140096618357488
56,1,2110,f,0.2560386473429952
57,1,2110,f,0.2028985507246377
58,1,2110,f,0.16908212560386474
59,1,2110,f,0.19806763285024154
60,1,2110,f,0.15458937198067632
61,1,2110,f,0.12077294685990338
62,1,2110,f,0.13043478260869565
63,1,2110,f,0.06280193236714976
64,1,2110,f,0.04830917874396135
65,1,2110,f,0.043478260869565216
18,1,2110,m,0.10810810810810811
19,1,2110,m,0.22358722358722358
20,1,2110,m,0.343980343980344
21,1,2110,m,0.43243243243243246
22,1,2110,m,0.5749385749385749
23,1,2110,m,0.7616707616707616
24,1,2110,m,0.9090909090909091
25,1,2110,m,0.8992628992628993
26,1,2110,m,1
