age,scrape_id,zipcode,gender,normalized_result
65,1,92411,m,0.02952029520295203
18,1,77004,f,0.043227665706051875
19,1,77004,f,0.16138328530259366
20,1,77004,f,0.19596541786743515
21,1,77004,f,0.2276657060518732
22,1,77004,f,0.2680115273775216
23,1,77004,f,0.30835734870317005
24,1,77004,f,0.3400576368876081
25,1,77004,f,0.30547550432276654
26,1,77004,f,0.37752161383285304
27,1,77004,f,0.35446685878962536
28,1,77004,f,0.4092219020172911
29,1,77004,f,0.3112391930835735
30,1,77004,f,0.2564841498559078
31,1,77004,f,0.2737752161383285
32,1,77004,f,0.2420749279538905
33,1,77004,f,0.276657060518732
34,1,77004,f,0.21902017291066284
35,1,77004,f,0.1988472622478386
36,1,77004,f,0.2680115273775216
37,1,77004,f,0.20461095100864554
38,1,77004,f,0.276657060518732
39,1,77004,f,0.17579250720461095
40,1,77004,f,0.2132564841498559
41,1,77004,f,0.17002881844380405
42,1,77004,f,0.16138328530259366
43,1,77004,f,0.12968299711815562
44,1,77004,f,0.15561959654178675
45,1,77004,f,0.1729106628242075
46,1,77004,f,0.16714697406340057
47,1,77004,f,0.12680115273775217
48,1,77004,f,0.1585014409221902
49,1,77004,f,0.13544668587896252
50,1,77004,f,0.12968299711815562
51,1,77004,f,0.1239193083573487
52,1,77004,f,0.15273775216138327
53,1,77004,f,0.11239193083573487
54,1,77004,f,0.12103746397694524
55,1,77004,f,0.11527377521613832
56,1,77004,f,0.12680115273775217
57,1,77004,f,0.06340057636887608
58,1,77004,f,0.06628242074927954
59,1,77004,f,0.07204610951008646
60,1,77004,f,0.043227665706051875
61,1,77004,f,0.04610951008645533
62,1,77004,f,0.025936599423631124
63,1,77004,f,0.008645533141210375
64,1,77004,f,0.02881844380403458
65,1,77004,f,0.011527377521613832
18,1,77004,m,0.07780979827089338
19,1,77004,m,0.21902017291066284
20,1,77004,m,0.29394812680115273
21,1,77004,m,0.4034582132564842
22,1,77004,m,0.5331412103746398
23,1,77004,m,0.6340057636887608
24,1,77004,m,0.8213256484149856
25,1,77004,m,0.8731988472622478
26,1,77004,m,0.8962536023054755
27,1,77004,m,0.8674351585014409
28,1,77004,m,1
29,1,77004,m,0.8962536023054755
30,1,77004,m,0.6829971181556196
31,1,77004,m,0.654178674351585
32,1,77004,m,0.5965417867435159
33,1,77004,m,0.6657060518731989
34,1,77004,m,0.5878962536023055
35,1,77004,m,0.44668587896253603
36,1,77004,m,0.42363112391930835
37,1,77004,m,0.49855907780979825
38,1,77004,m,0.49855907780979825
39,1,77004,m,0.38904899135446686
40,1,77004,m,0.37175792507204614
41,1,77004,m,0.2968299711815562
42,1,77004,m,0.2910662824207493
43,1,77004,m,0.2824207492795389
44,1,77004,m,0.29971181556195964
45,1,77004,m,0.2420749279538905
46,1,77004,m,0.2881844380403458
47,1,77004,m,0.2420749279538905
48,1,77004,m,0.2881844380403458
49,1,77004,m,0.17002881844380405
50,1,77004,m,0.2219020172910663
51,1,77004,m,0.21902017291066284
52,1,77004,m,0.1873198847262248
53,1,77004,m,0.18155619596541786
54,1,77004,m,0.1786743515850144
55,1,77004,m,0.10086455331412104
56,1,77004,m,0.1037463976945245
57,1,77004,m,0.09798270893371758
58,1,77004,m,0.10662824207492795
59,1,77004,m,0.04610951008645533
60,1,77004,m,0.04899135446685879
61,1,77004,m,0.05187319884726225
62,1,77004,m,0.05475504322766571
63,1,77004,m,0.03170028818443804
64,1,77004,m,0.025936599423631124
65,1,77004,m,0.011527377521613832
18,1,19130,f,0.05458515283842795
19,1,19130,f,0.21615720524017468
20,1,19130,f,0.27729257641921395
21,1,19130,f,0.3471615720524017
22,1,19130,f,0.42358078602620086
23,1,19130,f,0.44541484716157204
24,1,19130,f,0.4366812227074236
25,1,19130,f,0.5676855895196506
26,1,19130,f,0.4978165938864629
27,1,19130,f,0.4410480349344978
28,1,19130,f,0.4847161572052402
29,1,19130,f,0.4017467248908297
30,1,19130,f,0.3864628820960699
31,1,19130,f,0.33406113537117904
32,1,19130,f,0.28602620087336245
