s1.age,s1.zipcode,s1.gender,base,smokers,drinkers
23,77004,f,107,7,34
24,77004,f,118,9,43
25,77004,f,106,4,41
26,77004,f,131,9,39
27,77004,f,123,9,46
28,77004,f,142,14,54
29,77004,f,108,10,46
30,77004,f,89,5,32
31,77004,f,95,5,35
32,77004,f,84,8,30
33,77004,f,96,7,33
34,77004,f,76,8,33
35,77004,f,69,4,22
36,77004,f,93,7,40
37,77004,f,71,5,24
38,77004,f,96,6,40
39,77004,f,61,4,20
40,77004,f,74,1,31
41,77004,f,59,2,19
42,77004,f,56,4,25
43,77004,f,45,1,24
44,77004,f,54,2,22
45,77004,f,60,4,20
46,77004,f,58,5,21
47,77004,f,44,1,15
48,77004,f,55,0,19
49,77004,f,47,4,19
50,77004,f,45,1,17
51,77004,f,43,1,16
52,77004,f,53,1,18
53,77004,f,39,1,16
54,77004,f,42,4,15
55,77004,f,40,4,14
56,77004,f,44,3,17
57,77004,f,22,0,8
58,77004,f,23,0,9
59,77004,f,25,1,7
60,77004,f,15,0,9
61,77004,f,16,0,4
62,77004,f,9,1,5
63,77004,f,3,0,2
64,77004,f,10,1,0
65,77004,f,4,0,0
18,77004,m,27,6,12
19,77004,m,76,10,31
20,77004,m,102,10,36
21,77004,m,140,16,42
22,77004,m,185,8,56
23,77004,m,220,17,70
24,77004,m,285,22,110
25,77004,m,303,25,114
26,77004,m,311,27,113
27,77004,m,301,18,104
28,77004,m,347,20,108
29,77004,m,311,14,85
30,77004,m,237,12,79
31,77004,m,227,14,63
32,77004,m,207,18,68
33,77004,m,231,9,71
34,77004,m,204,14,50
35,77004,m,155,8,60
36,77004,m,147,11,52
37,77004,m,173,14,66
38,77004,m,173,10,56
39,77004,m,135,8,39
40,77004,m,129,4,44
41,77004,m,103,10,35
42,77004,m,101,3,27
43,77004,m,98,6,35
44,77004,m,104,4,38
45,77004,m,84,6,20
46,77004,m,100,9,32
47,77004,m,84,8,30
48,77004,m,100,5,27
49,77004,m,59,3,18
50,77004,m,77,6,29
51,77004,m,76,0,22
52,77004,m,65,2,24
53,77004,m,63,5,23
54,77004,m,62,4,21
55,77004,m,35,2,10
56,77004,m,36,4,12
57,77004,m,34,0,12
58,77004,m,37,4,8
59,77004,m,16,0,2
60,77004,m,17,2,5
61,77004,m,18,2,5
62,77004,m,19,0,4
63,77004,m,11,1,2
64,77004,m,9,0,2
65,77004,m,4,0,0
18,19130,f,25,5,11
19,19130,f,99,7,44
20,19130,f,127,15,51
21,19130,f,159,13,73
22,19130,f,194,17,69
23,19130,f,204,19,97
24,19130,f,200,15,92
25,19130,f,260,18,122
26,19130,f,228,18,107
27,19130,f,202,22,93
28,19130,f,222,15,94
29,19130,f,184,15,80
30,19130,f,177,15,74
31,19130,f,153,20,70
32,19130,f,131,13,53
33,19130,f,173,9,71
34,19130,f,184,14,78
35,19130,f,141,12,54
36,19130,f,137,17,57
37,19130,f,141,11,60
38,19130,f,150,12,58
39,19130,f,142,13,53
40,19130,f,175,10,73
41,19130,f,155,10,66
42,19130,f,148,15,66
43,19130,f,140,17,64
44,19130,f,134,17,60
45,19130,f,119,10,57
46,19130,f,133,8,46
47,19130,f,112,13,52
48,19130,f,140,13,64
49,19130,f,129,15,50
50,19130,f,116,11,45
51,19130,f,91,7,37
52,19130,f,120,13,59
53,19130,f,107,12,46
54,19130,f,76,6,30
55,19130,f,60,6,25
56,19130,f,66,3,28
57,19130,f,70,5,31
58,19130,f,60,3,25
59,19130,f,57,4,21
60,19130,f,52,1,14
61,19130,f,41,1,10
62,19130,f,33,1,14
63,19130,f,27,0,8
64,19130,f,19,2,5
65,19130,f,25,0,10
18,19130,m,28,3,17
19,19130,m,127,7,42
20,19130,m,192,22,77
21,19130,m,262,21,96
22,19130,m,324,19,111
23,19130,m,414,32,181
24,19130,m,404,23,174
25,19130,m,399,25,141
26,19130,m,438,25,159
27,19130,m,401,28,141
28,19130,m,458,28,177
29,19130,m,367,28,131
30,19130,m,387,26,134
31,19130,m,329,20,113
32,19130,m,295,24,102
33,19130,m,290,17,100
34,19130,m,281,22,97
35,19130,m,250,26,90
36,19130,m,249,16,93
37,19130,m,219,20,80
38,19130,m,267,22,89
39,19130,m,234,12,80
40,19130,m,213,17,74
41,19130,m,180,10,62
42,19130,m,196,19,74
43,19130,m,205,16,79
44,19130,m,218,21,82
45,19130,m,181,9,71
46,19130,m,160,4,49
47,19130,m,136,10,48
48,19130,m,188,12,72
49,19130,m,130,6,47
50,19130,m,122,6,49
51,19130,m,96,9,28
52,19130,m,119,8,42
53,19130,m,96,6,28
54,19130,m,85,6,35
55,19130,m,82,5,22
56,19130,m,68,1,23
57,19130,m,65,4,19
58,19130,m,55,2,15
59,19130,m,57,2,18
60,19130,m,38,3,18
61,19130,m,41,2,14
62,19130,m,34,1,6
63,19130,m,21,0,10
64,19130,m,15,1,3
65,19130,m,17,0,5
18,94102,f,10,2,6
19,94102,f,31,4,11
20,94102,f,37,3,10
21,94102,f,51,3,16
22,94102,f,53,5,23
23,94102,f,81,5,30
24,94102,f,90,4,30
25,94102,f,73,6,26
26,94102,f,82,4,36
27,94102,f,75,6,29
28,94102,f,94,5,30
29,94102,f,92,8,42
30,94102,f,66,6,27
31,94102,f,90,8,32
32,94102,f,80,7,36
33,94102,f,61,3,20
34,94102,f,67,1,34
35,94102,f,75,2,34
36,94102,f,66,1,28
37,94102,f,58,3,17
38,94102,f,84,8,34
39,94102,f,72,7,38
40,94102,f,71,1,21
41,94102,f,44,2,19
42,94102,f,34,1,10
43,94102,f,42,3,19
44,94102,f,39,2,16
45,94102,f,35,1,12
46,94102,f,31,1,13
47,94102,f,41,1,11
48,94102,f,39,2,18
49,94102,f,33,2,16
50,94102,f,26,3,9
51,94102,f,35,0,18
52,94102,f,29,0,8
53,94102,f,27,2,8
54,94102,f,24,2,7
55,94102,f,20,1,8
56,94102,f,22,2,9
57,94102,f,16,0,5
58,94102,f,27,0,9
59,94102,f,18,0,7
60,94102,f,17,0,10
61,94102,f,7,0,4
62,94102,f,12,0,5
63,94102,f,11,1,4
64,94102,f,5,0,1
65,94102,f,4,0,1
18,94102,m,12,5,9
19,94102,m,36,5,16
20,94102,m,73,6,22
21,94102,m,95,3,31
22,94102,m,113,9,39
23,94102,m,185,7,65
24,94102,m,190,13,74
25,94102,m,231,19,81
26,94102,m,239,13,89
27,94102,m,244,12,97
28,94102,m,275,6,82
29,94102,m,243,8,66
30,94102,m,246,9,91
31,94102,m,195,9,56
32,94102,m,206,7,69
33,94102,m,185,8,56
34,94102,m,209,10,55
35,94102,m,157,5,50
36,94102,m,165,9,59
37,94102,m,138,8,47
38,94102,m,177,6,55
39,94102,m,152,4,37
40,94102,m,118,4,38
41,94102,m,100,2,31
42,94102,m,115,5,34
43,94102,m,115,1,36
44,94102,m,86,3,27
45,94102,m,58,3,16
46,94102,m,63,2,25
47,94102,m,55,2,18
48,94102,m,77,0,18
49,94102,m,78,4,18
50,94102,m,48,3,11
51,94102,m,38,1,8
52,94102,m,42,1,13
53,94102,m,42,0,11
54,94102,m,33,2,8
55,94102,m,36,0,14
56,94102,m,30,1,7
57,94102,m,27,0,4
58,94102,m,30,0,7
59,94102,m,20,0,11
60,94102,m,17,0,6
61,94102,m,18,1,6
62,94102,m,16,1,3
63,94102,m,9,0,1
64,94102,m,4,0,1
65,94102,m,9,2,0
18,75215,f,26,3,13
19,75215,f,52,4,16
20,75215,f,69,6,18
21,75215,f,107,9,35
22,75215,f,106,7,31
23,75215,f,108,10,43
24,75215,f,121,2,40
25,75215,f,112,11,45
26,75215,f,109,11,44
27,75215,f,132,10,49
28,75215,f,116,6,47
29,75215,f,134,11,42
30,75215,f,94,7,39
31,75215,f,100,5,39
32,75215,f,91,3,38
33,75215,f,92,5,39
34,75215,f,102,8,46
35,75215,f,70,3,25
36,75215,f,99,4,30
37,75215,f,83,6,31
38,75215,f,90,3,34
39,75215,f,80,6,28
40,75215,f,89,9,31
41,75215,f,78,5,33
42,75215,f,74,6,36
43,75215,f,61,4,22
44,75215,f,66,2,17
45,75215,f,61,3,26
46,75215,f,65,4,23
47,75215,f,59,5,16
48,75215,f,51,1,16
49,75215,f,56,5,18
50,75215,f,53,1,16
51,75215,f,47,3,17
52,75215,f,45,1,19
53,75215,f,37,3,19
54,75215,f,51,1,14
55,75215,f,37,2,12
56,75215,f,37,2,14
57,75215,f,34,0,10
58,75215,f,23,0,7
59,75215,f,31,1,11
60,75215,f,12,1,4
61,75215,f,21,0,9
62,75215,f,11,0,3
63,75215,f,7,1,5
64,75215,f,7,0,0
65,75215,f,8,0,6
18,75215,m,24,3,11
19,75215,m,69,5,18
20,75215,m,109,12,31
21,75215,m,136,14,45
22,75215,m,181,21,60
23,75215,m,208,12,70
24,75215,m,196,17,65
25,75215,m,224,14,64
26,75215,m,231,16,73
27,75215,m,216,15,80
28,75215,m,258,12,84
29,75215,m,205,14,64
30,75215,m,204,13,60
31,75215,m,212,14,70
32,75215,m,151,5,45
33,75215,m,156,8,45
34,75215,m,169,12,51
35,75215,m,160,9,62
36,75215,m,143,9,50
37,75215,m,172,12,61
38,75215,m,157,9,56
39,75215,m,161,8,42
40,75215,m,120,8,43
41,75215,m,114,10,39
42,75215,m,96,7,33
43,75215,m,111,11,32
44,75215,m,109,6,32
45,75215,m,83,4,31
46,75215,m,82,7,23
47,75215,m,69,2,21
48,75215,m,96,9,33
49,75215,m,74,4,22
50,75215,m,62,3,17
51,75215,m,56,5,15
52,75215,m,41,4,11
53,75215,m,55,1,15
54,75215,m,37,0,10
55,75215,m,33,1,12
56,75215,m,37,2,17
57,75215,m,26,2,8
58,75215,m,26,2,4
59,75215,m,27,1,11
60,75215,m,17,0,2
61,75215,m,16,0,5
62,75215,m,13,1,4
63,75215,m,6,0,0
64,75215,m,12,0,3
65,75215,m,5,0,4
18,48226,f,13,2,8
19,48226,f,57,2,15
20,48226,f,69,8,21
21,48226,f,87,10,34
22,48226,f,71,6,22
23,48226,f,83,4,24
24,48226,f,77,10,30
25,48226,f,82,5,33
26,48226,f,81,12,37
27,48226,f,74,4,29
28,48226,f,94,6,42
29,48226,f,78,8,22
30,48226,f,74,5,27
31,48226,f,69,6,21
32,48226,f,57,6,19
33,48226,f,74,9,29
34,48226,f,58,3,23
35,48226,f,86,5,31
36,48226,f,74,6,32
37,48226,f,82,8,30
38,48226,f,79,5,28
39,48226,f,63,2,19
40,48226,f,69,6,26
41,48226,f,52,4,23
42,48226,f,66,4,16
43,48226,f,56,4,24
44,48226,f,53,5,20
45,48226,f,42,2,16
46,48226,f,51,5,15
47,48226,f,39,3,13
48,48226,f,52,3,13
49,48226,f,44,3,11
50,48226,f,44,7,14
51,48226,f,34,2,13
52,48226,f,39,5,16
53,48226,f,41,0,14
54,48226,f,22,1,11
55,48226,f,25,1,9
56,48226,f,36,2,16
57,48226,f,25,2,7
58,48226,f,31,0,6
59,48226,f,13,0,3
60,48226,f,17,3,5
61,48226,f,10,1,3
62,48226,f,9,0,2
63,48226,f,14,1,2
64,48226,f,7,0,2
65,48226,f,3,0,0
18,48226,m,16,4,10
19,48226,m,87,10,23
20,48226,m,92,7,26
21,48226,m,123,15,41
22,48226,m,169,14,50
23,48226,m,171,16,51
24,48226,m,179,19,65
25,48226,m,143,8,50
26,48226,m,143,9,49
27,48226,m,179,16,57
28,48226,m,160,16,52
29,48226,m,201,27,65
30,48226,m,151,13,56
31,48226,m,147,8,48
32,48226,m,132,11,33
33,48226,m,143,11,52
34,48226,m,132,12,36
35,48226,m,118,6,38
36,48226,m,116,4,27
37,48226,m,129,11,47
38,48226,m,119,7,37
39,48226,m,128,14,51
40,48226,m,106,5,37
41,48226,m,99,6,28
42,48226,m,78,5,21
43,48226,m,81,9,29
44,48226,m,80,5,24
45,48226,m,76,8,28
46,48226,m,71,9,30
47,48226,m,61,7,27
48,48226,m,61,4,18
49,48226,m,70,7,22
50,48226,m,62,4,16
51,48226,m,55,6,22
52,48226,m,41,8,21
53,48226,m,58,3,18
54,48226,m,43,0,11
55,48226,m,34,4,10
56,48226,m,27,3,11
57,48226,m,31,2,10
58,48226,m,29,0,13
59,48226,m,28,2,11
60,48226,m,21,0,6
61,48226,m,13,0,3
62,48226,m,20,2,3
63,48226,m,11,1,5
64,48226,m,6,0,1
65,48226,m,5,0,0
18,33130,f,16,1,12
19,33130,f,49,6,16
20,33130,f,56,4,22
21,33130,f,88,6,27
22,33130,f,92,6,38
23,33130,f,101,11,29
24,33130,f,78,7,32
25,33130,f,107,8,42
26,33130,f,104,10,51
27,33130,f,84,10,39
28,33130,f,89,7,38
29,33130,f,77,7,26
30,33130,f,77,3,34
31,33130,f,84,9,29
32,33130,f,66,7,27
33,33130,f,68,4,23
34,33130,f,57,5,25
35,33130,f,79,7,39
