id,scrape,zipcode,radius,age,gender,result,url,created_at
43,base,30309,10,60,f,18,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=60&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=60&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:00-05:00
44,base,30309,10,61,f,19,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=61&country=1&starsign=&religion=&seekinga=f&MaxAge=61&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:02-05:00
45,base,30309,10,62,f,14,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=62&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=62&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:02-05:00
46,base,30309,10,63,f,3,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=63&country=1&starsign=&religion=&seekinga=f&MaxAge=63&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:03-05:00
47,base,30309,10,64,f,10,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=64&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=64&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:04-05:00
48,base,30309,10,65,f,7,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=65&country=1&starsign=&religion=&seekinga=f&MaxAge=65&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:04-05:00
49,base,30309,10,18,m,18,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=f&MinAge=18&country=1&starsign=&religion=&seekinga=m&MaxAge=18&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:05-05:00
50,base,30309,10,19,m,56,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=19&iama=f&religion=&searchtype=&City=30309&drugs=&MaxAge=19&seekinga=m&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:06-05:00
51,base,30309,10,20,m,66,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=f&MinAge=20&country=1&starsign=&religion=&seekinga=m&MaxAge=20&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:07-05:00
52,base,30309,10,21,m,123,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=21&iama=f&religion=&searchtype=&City=30309&drugs=&MaxAge=21&seekinga=m&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:08-05:00
